Rating,AccountId,NumberOfCustomers,NetValueCalculated,Number of transactions,SAPRelation,NumberOfEmployees,Industry
B,28366225,1,419.49,1,Customer,250>x>50,Service Industries
B,28366917,1,419.49,1,Customer,250>x>50,Service Industries
B,28373392,1,419.49,1,Customer,250>x>50,Service Industries
B,28365259,1,468.18,1,Customer,250>x>50,Service Industries
B,28335344,1,479.0,1,Customer,250>x>50,Service Industries
B,27292292,1,504.24,1,Customer,250>x>50,Service Industries
B,11997217,1,588.0,1,Consultant,>250,Financial Services
B,28381651,1,679.58,1,Customer,250>x>50,Service Industries
B,1192072,1,1105.13,1,Consultant,>250,Financial Services
A,15641849,1,4972.22,1,Customer,250>x>50,Service Industries
B,3138364,1,7200.0,1,Prospective Customer,<50,Public Services
C,15659327,1,0.0,1,Customer,250>x>50,Service Industries
C,24001138,1,0.0,1,Customer,<50,Service Industries
C,27601447,1,55.93,1,Customer,250>x>50,Service Industries
C,28377587,1,0.0,1,Customer,250>x>50,Service Industries
C,28378385,1,0.0,1,Customer,250>x>50,Service Industries
C,28379460,1,0.0,1,Customer,250>x>50,Service Industries
C,28380012,1,0.0,1,Customer,250>x>50,Service Industries
C,28383111,1,0.0,1,Customer,250>x>50,Service Industries
C,4347129,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,9364780,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,11897793,1,45.76,1,Consultant,>250,Financial Services
C,163214,1,49.0,1,Customer,<50,Service Industries
C,27203711,1,63.0,1,Customer,250>x>50,Service Industries
C,190852,1,91.53,1,Customer,<50,Service Industries
C,26749436,1,132.2,1,Customer,<50,Service Industries
C,4374132,1,180.0,1,Prospective Customer,250>x>50,Discrete Industries
C,24037075,1,195.36,1,Customer,<50,Service Industries
C,1114963,1,250.0,1,Consultant,>250,Energy and Natural Resources
C,22150181,1,327.81,1,Customer,250>x>50,Service Industries
C,28325236,1,354.64,1,Customer,250>x>50,Service Industries
B,28381648,1,374.52,1,Customer,250>x>50,Service Industries
C,7254244,1,377.54,1,Prospective Customer,<50,Discrete Industries
C,18123825,1,416.13,1,Customer,<50,Service Industries
B,28374493,1,416.13,1,Customer,250>x>50,Service Industries
B,12246315,1,419.49,1,Consultant,>250,Financial Services
B,28382052,1,419.49,1,Customer,250>x>50,Service Industries
B,28388536,1,419.49,1,Customer,250>x>50,Service Industries
C,7094490,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
C,7386713,1,512.12,1,Prospective Customer,250>x>50,Discrete Industries
B,28380256,1,479.0,1,Customer,250>x>50,Service Industries
B,28381737,1,479.0,1,Customer,250>x>50,Service Industries
B,26320172,1,755.08,1,Customer,250>x>50,Service Industries
A,2086973,1,1800.0,1,Customer,250>x>50,Service Industries
B,3015074,1,2560.61,1,Prospective Customer,250>x>50,Public Services
A,17060761,1,7050.0,1,Customer,<50,Service Industries
B,3153483,1,7050.0,1,Prospective Customer,<50,Public Services
C,1094906,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,12900083,1,0.0,1,Consultant,>250,Financial Services
C,13942904,1,0.0,1,Consultant,>250,Financial Services
C,164614,1,0.0,1,Customer,<50,Service Industries
C,24309972,1,0.0,1,Customer,<50,Service Industries
C,2529570,1,0.0,1,Customer,<50,Service Industries
C,28411238,1,0.0,1,Customer,250>x>50,Service Industries
C,28426243,1,0.0,1,Customer,250>x>50,Service Industries
C,23125730,1,49.0,1,Customer,<50,Service Industries
C,13775950,1,52.54,1,Consultant,>250,Financial Services
C,26229849,1,53.39,1,Customer,250>x>50,Service Industries
C,50026097,1,58.47,1,Prospective Customer,250>x>50,Discrete Industries
C,27744541,1,75.0,1,Customer,250>x>50,Service Industries
C,15978496,1,250.0,1,Customer,<50,Service Industries
C,28334382,1,250.0,1,Customer,250>x>50,Service Industries
B,272209,1,377.54,1,Customer,250>x>50,Service Industries
B,28425105,1,377.54,1,Customer,250>x>50,Service Industries
B,28416287,1,419.49,1,Customer,250>x>50,Service Industries
B,28421778,1,419.49,1,Customer,250>x>50,Service Industries
B,28425121,1,419.49,1,Customer,250>x>50,Service Industries
B,28402138,1,537.5,1,Customer,250>x>50,Service Industries
B,28403690,1,563.18,1,Customer,250>x>50,Service Industries
C,6626102,1,755.08,1,Prospective Customer,250>x>50,Discrete Industries
A,11803123,1,1800.0,1,Consultant,>250,Financial Services
B,3121879,1,1800.0,1,Prospective Customer,250>x>50,Public Services
A,28416373,1,1887.71,1,Customer,250>x>50,Service Industries
A,2981872,1,3305.08,1,SAP Employee,>250,Service Industries
A,1099224,1,4101.06,1,Consultant,>250,Energy and Natural Resources
C,27358807,1,0.0,1,Customer,250>x>50,Service Industries
C,27834708,1,0.0,1,Customer,250>x>50,Service Industries
C,28382483,1,0.0,1,Customer,250>x>50,Service Industries
C,28426345,1,0.0,1,Customer,250>x>50,Service Industries
C,28428214,1,0.0,1,Customer,250>x>50,Service Industries
C,28428280,1,0.0,1,Customer,250>x>50,Service Industries
C,28428435,1,0.0,1,Customer,250>x>50,Service Industries
C,28435388,1,0.0,1,Customer,250>x>50,Service Industries
C,9159677,1,48.39,1,Prospective Customer,<50,Discrete Industries
C,180693,1,52.54,1,Customer,<50,Service Industries
C,24069828,1,53.39,1,Customer,<50,Service Industries
B,180260,1,2097.46,1,Customer,<50,Service Industries
C,28434425,1,175.0,1,Customer,250>x>50,Service Industries
C,28435026,1,225.0,1,Customer,250>x>50,Service Industries
C,24614752,1,245.16,1,Customer,<50,Service Industries
C,11562993,1,250.0,1,Consultant,>250,Financial Services
C,7175576,1,250.0,1,Prospective Customer,250>x>50,Discrete Industries
C,10235801,1,352.29999999999995,1,Press/Analyst,>250,Energy and Natural Resources
C,18941372,1,393.31,1,Customer,<50,Service Industries
B,28439561,1,393.31,1,Customer,250>x>50,Service Industries
C,4538398,1,377.54,1,Prospective Customer,250>x>50,Discrete Industries
B,28438112,1,419.49,1,Customer,250>x>50,Service Industries
B,28439419,1,419.49,1,Customer,250>x>50,Service Industries
B,28439633,1,419.49,1,Customer,250>x>50,Service Industries
B,28201873,1,512.12,1,Customer,250>x>50,Service Industries
C,23802120,1,468.18,1,Customer,<50,Service Industries
B,28427096,1,479.0,1,Customer,250>x>50,Service Industries
A,1187174,1,1800.0,1,Consultant,>250,Financial Services
A,27742462,1,3209.11,1,Customer,250>x>50,Service Industries
A,1194138,1,3600.0,1,Consultant,>250,Financial Services
A,4844563,1,3922.25,1,Prospective Customer,250>x>50,Discrete Industries
C,10813152,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,159906,1,0.0,1,Customer,<50,Service Industries
C,16519434,1,0.0,1,Customer,<50,Service Industries
C,24896011,1,0.0,1,Customer,250>x>50,Service Industries
C,28334583,1,0.0,1,Customer,250>x>50,Service Industries
C,28382570,1,0.0,1,Customer,250>x>50,Service Industries
C,28382573,1,0.0,1,Customer,250>x>50,Service Industries
C,28439595,1,0.0,1,Customer,250>x>50,Service Industries
C,28439814,1,0.0,1,Customer,250>x>50,Service Industries
C,28443720,1,0.0,1,Customer,250>x>50,Service Industries
C,28446535,1,0.0,1,Customer,250>x>50,Service Industries
C,28450088,1,0.0,1,Customer,250>x>50,Service Industries
C,50067191,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,27751015,1,53.39,1,Customer,250>x>50,Service Industries
C,1239676,1,60.0,1,Consultant,>250,Financial Services
C,27609181,1,75.0,1,Customer,250>x>50,Service Industries
C,163096,1,91.53,1,Customer,<50,Service Industries
C,1095564,1,147.0,1,Consultant,>250,Energy and Natural Resources
C,1129226,1,147.0,1,Consultant,>250,Financial Services
C,13679151,1,179.0,1,Consultant,>250,Financial Services
C,28334577,1,195.36,1,Customer,250>x>50,Service Industries
C,28450079,1,195.36,1,Customer,250>x>50,Service Industries
C,9526275,1,214.36,1,Prospective Customer,250>x>50,Discrete Industries
C,22897851,1,250.0,1,Customer,<50,Service Industries
C,28451324,1,250.0,1,Customer,250>x>50,Service Industries
C,28446597,1,262.84,1,Customer,250>x>50,Service Industries
C,174689,1,295.03,1,Customer,<50,Service Industries
B,28451440,1,419.49,1,Customer,250>x>50,Service Industries
C,4865338,1,419.49,1,Prospective Customer,250>x>50,Discrete Industries
B,28443866,1,421.36,1,Customer,250>x>50,Service Industries
B,28450354,1,421.36,1,Customer,250>x>50,Service Industries
B,1222780,1,490.91,1,Consultant,>250,Financial Services
C,1084317,1,500.0,1,Consultant,>250,Energy and Natural Resources
B,28346667,1,550.0,1,Customer,250>x>50,Service Industries
C,50046757,1,588.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28306145,1,590.07,1,Customer,250>x>50,Consumer Industries
B,50004389,1,1142.38,1,Prospective Customer,250>x>50,Discrete Industries
B,8196993,1,1450.8,1,Prospective Customer,250>x>50,Discrete Industries
A,28439793,1,1510.17,1,Customer,250>x>50,Service Industries
A,15843320,1,3600.0,1,Customer,250>x>50,Service Industries
A,171758,1,7100.0,1,Customer,<50,Service Industries
C,26512432,1,0.0,1,Customer,250>x>50,Service Industries
C,28454166,1,0.0,1,Customer,250>x>50,Service Industries
C,1096718,1,147.0,1,Consultant,>250,Energy and Natural Resources
C,28382578,1,343.64,1,Customer,250>x>50,Service Industries
B,28453310,1,377.54,1,Customer,250>x>50,Service Industries
C,4340668,1,580.65,1,Prospective Customer,250>x>50,Discrete Industries
C,28454262,1,0.0,1,Customer,250>x>50,Service Industries
C,28454299,1,0.0,1,Customer,250>x>50,Service Industries
C,3103468,1,0.0,1,Prospective Customer,250>x>50,Public Services
C,165751,1,45.76,1,Customer,<50,Service Industries
C,1095304,1,49.0,1,Consultant,>250,Energy and Natural Resources
C,1246032,1,49.0,1,Consultant,>250,Financial Services
C,7307387,1,63.0,1,Prospective Customer,250>x>50,Discrete Industries
C,28453900,1,225.0,1,Customer,250>x>50,Service Industries
B,17149377,1,1800.0,1,Customer,<50,Service Industries
C,34449,1,1800.0,1,Prospective Customer,<50,Public Services
C,10143306,1,0.0,1,Press/Analyst,>250,Energy and Natural Resources
C,11627777,1,0.0,1,Consultant,>250,Financial Services
C,1228449,1,0.0,1,Consultant,>250,Financial Services
C,163486,1,0.0,1,Customer,<50,Service Industries
C,24230557,1,0.0,1,Customer,<50,Service Industries
C,28008841,1,0.0,1,Customer,250>x>50,Service Industries
C,28382587,1,0.0,1,Customer,250>x>50,Service Industries
C,28458020,1,0.0,1,Customer,250>x>50,Service Industries
C,28459140,1,0.0,1,Customer,250>x>50,Service Industries
C,28460198,1,0.0,1,Customer,250>x>50,Service Industries
C,28464198,1,0.0,1,Customer,250>x>50,Service Industries
C,28472319,1,0.0,1,Customer,250>x>50,Service Industries
C,28473022,1,0.0,1,Customer,250>x>50,Service Industries
C,28473673,1,0.0,1,Customer,250>x>50,Service Industries
C,28474031,1,0.0,1,Customer,250>x>50,Service Industries
C,28480519,1,0.0,1,Customer,250>x>50,Service Industries
C,31316,1,0.0,1,Prospective Customer,250>x>50,Public Services
C,6586570,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,8859427,1,0.0,1,Prospective Customer,<50,Discrete Industries
C,25479864,1,63.0,1,Customer,250>x>50,Service Industries
C,208164,1,66.1,1,Customer,250>x>50,Service Industries
C,28475374,1,250.0,1,Customer,250>x>50,Service Industries
C,11104824,1,292.05,1,Consultant,>250,Energy and Natural Resources
B,28464202,1,377.54,1,Customer,250>x>50,Service Industries
B,28473308,1,377.54,1,Customer,250>x>50,Service Industries
B,28480720,1,377.54,1,Customer,250>x>50,Service Industries
B,21352493,1,419.49,1,Customer,250>x>50,Service Industries
B,27266773,1,419.49,1,Customer,250>x>50,Service Industries
B,28459555,1,419.49,1,Customer,250>x>50,Service Industries
B,28473404,1,419.49,1,Customer,250>x>50,Service Industries
B,28460655,1,590.07,1,Customer,250>x>50,Service Industries
A,17266122,1,7200.0,1,Customer,<50,Service Industries
C,1090046,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,17966656,1,0.0,1,Customer,<50,Service Industries
C,26067420,1,0.0,1,Customer,250>x>50,Service Industries
C,28480110,1,0.0,1,Customer,250>x>50,Service Industries
C,28481091,1,0.0,1,Customer,250>x>50,Service Industries
C,28481295,1,0.0,1,Customer,250>x>50,Service Industries
C,4576811,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,13233348,1,35.78,1,Consultant,>250,Financial Services
C,11282767,1,49.0,1,Consultant,>250,Financial Services
C,17664262,1,51.28,1,Customer,<50,Service Industries
C,26717711,1,175.0,1,Customer,<50,Service Industries
C,28481294,1,179.0,1,Customer,250>x>50,Service Industries
C,15275663,1,195.36,1,Customer,250>x>50,Service Industries
C,28480756,1,245.16,1,Customer,250>x>50,Service Industries
C,28483832,1,250.0,1,Customer,250>x>50,Service Industries
C,28481104,1,299.0,1,Customer,250>x>50,Service Industries
B,28484374,1,377.54,1,Customer,250>x>50,Service Industries
B,28484694,1,377.54,1,Customer,250>x>50,Service Industries
B,28485718,1,377.54,1,Customer,250>x>50,Service Industries
B,28483808,1,397.69,1,Customer,250>x>50,Service Industries
B,28484423,1,405.0,1,Customer,250>x>50,Service Industries
B,21394294,1,669.49,1,Customer,250>x>50,Service Industries
C,23443457,1,419.49,1,Customer,<50,Service Industries
B,27363295,1,419.49,1,Customer,250>x>50,Service Industries
B,28480085,1,419.49,1,Customer,250>x>50,Service Industries
B,28482927,1,419.49,1,Customer,250>x>50,Service Industries
B,28484259,1,419.49,1,Customer,250>x>50,Service Industries
B,28484971,1,419.49,1,Customer,250>x>50,Service Industries
C,22913913,1,479.0,1,Customer,<50,Service Industries
B,28483767,1,479.0,1,Customer,250>x>50,Service Industries
C,24616496,1,504.24,1,Customer,<50,Service Industries
C,4860745,1,679.58,1,Prospective Customer,250>x>50,Discrete Industries
A,1126066,1,1176.0,1,Consultant,>250,Financial Services
C,1088291,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,11136765,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,1113854,1,0.0,1,Consultant,>250,Energy and Natural Resources
C,26314468,1,0.0,1,Customer,250>x>50,Service Industries
C,28180423,1,0.0,1,Customer,250>x>50,Service Industries
C,28487228,1,0.0,1,Customer,250>x>50,Service Industries
C,28489102,1,0.0,1,Customer,250>x>50,Service Industries
C,28489755,1,0.0,1,Customer,250>x>50,Service Industries
C,28491242,1,0.0,1,Customer,250>x>50,Service Industries
C,4534147,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,4684707,1,0.0,1,Prospective Customer,250>x>50,Discrete Industries
C,204800,1,45.76,1,Customer,<50,Service Industries
C,27783032,1,53.39,1,Customer,250>x>50,Service Industries
C,28488508,1,66.1,1,Customer,250>x>50,Service Industries
C,10474803,1,164.96,1,Consultant,>250,Energy and Natural Resources
C,28488410,1,179.0,1,Customer,250>x>50,Service Industries
C,28460898,1,195.36,1,Customer,250>x>50,Service Industries
C,28488523,1,225.0,1,Customer,250>x>50,Service Industries
C,28490623,1,250.0,1,Customer,250>x>50,Service Industries
B,24863205,1,377.54,1,Customer,250>x>50,Service Industries
B,28489856,1,377.54,1,Customer,250>x>50,Service Industries
C,6818454,1,377.54,1,Prospective Customer,250>x>50,Discrete Industries
B,12295007,1,419.49,1,Consultant,>250,Financial Services
B,28490353,1,419.49,1,Customer,250>x>50,Service Industries
B,28460896,1,450.0,1,Customer,250>x>50,Service Industries
C,2040026,1,588.0,1,Customer,<50,Service Industries
B,28485071,1,755.08,1,Customer,250>x>50,Service Industries
C,5660104,1,755.08,1,Prospective Customer,250>x>50,Discrete Industries
B,28488266,1,842.73,1,Customer,250>x>50,Service Industries
C,1095054,1,1197.0,1,Consultant,>250,Energy and Natural Resources
A,254945,1,1550.0,1,Customer,250>x>50,Service Industries
C,18231032,1,240.0,1,Customer,<50,Service Industries
C,21610299,1,0.0,1,Customer,250>x>50,Service Industries
C,24912872,1,0.0,1,Customer,250>x>50,Service Industries
C,28495654,1,0.0,1,Customer,250>x>50,Service Industries
